"plot","treeNum","DBH_cm","height_m","species","dOut_m","dSideR_m","dSideL_m","notes","percentLive","plotNum"
1,1,44.3,13.5,"PYGE",1.8,4.96,NA,"Abgr, yellow needles, cones",96,1
1,2,34.4,9.2,"PYGE",7.9,2.59,NA,"Abgr, cones",96,1
1,3,0,1.2,"ABCO",25.7,1.6,NA,"yellow needles",97,1
1,4,0,1.1,"ABCO",32.3,NA,"-3.94","yellow needles",97,1
10,1,0,1,"ABCO",1.4,4.5,NA,"CROOK",98,10
10,2,59.7,13.9,"ABCO",1.5,1.8,NA,"BROKE, SD",0,10
10,3,12.2,4.4,"ABCO",2.7,3,NA,NA,97,10
10,4,4.5,2.5,"ABCO",6.8,0.2,NA,NA,96,10
10,5,39.2,23.5,"ABCO",7.1,1.8,NA,NA,99,10
10,6,31.8,20.8,"ABCO",8.6,0.5,NA,NA,98,10
10,7,8.4,4.8,"ABCO",7.1,3.2,NA,"sparse",99,10
10,8,12.5,6.5,"ABCO",9.6,1.2,NA,NA,98,10
10,9,43.8,23.1,"ABCO",11,4.5,NA,NA,98,10
10,10,25.2,12.7,"ABCO",17.4,0.4,NA,NA,98,10
10,11,10.1,8.3,"ABCO",17.6,1,NA,"LEAN, sparse",99,10
10,12,1.5,1.8,"ABCO",17.5,1,NA,"sparse",97,10
10,13,24.3,15,"ABCO",18.4,4.8,NA,NA,97,10
10,14,20.1,9.3,"ABMA",21.6,0.7,NA,NA,98,10
10,15,24,14.2,"ABCO",24.2,0.01,NA,NA,99,10
10,16,2.4,2,"ABCO",24.3,2.5,NA,"old dtop, FORK, ABGR",98,10
10,17,25.6,10.2,"ABCO",24.4,2.7,NA,"FORK, ABGR",97,10
10,18,10.7,7,"ABCO",25.4,0.3,NA,"LEAN, CROOK, MECH",96,10
10,19,2.4,1.6,"ABCO",25.6,0.5,NA,"LEAN",97,10
10,20,102.3,52.2,"ABCO",35.9,0.01,NA,NA,97,10
10,21,3.6,2.3,"ABMA",38.5,3.5,NA,NA,99,10
10,22,10.2,4.8,"ABMA",41,2.5,NA,NA,98,10
10,23,13.4,6.5,"ABCO",41.4,0.5,NA,NA,99,10
10,24,5,2.8,"ABMA",42.1,2.4,NA,NA,98,10
10,25,8.8,5.2,"ABCO",42,4.2,NA,NA,98,10
10,26,1.1,1.4,"ABMA",41.2,4.6,NA,"LEAN",96,10
10,27,25.2,14,"ABMA",44.3,2.6,NA,"bent top, 2 flags, pitching",95,10
10,28,2.1,1.9,"ABCO",45.7,1,NA,NA,99,10
10,29,0,1.35,"ABCO",46.1,0.9,NA,NA,100,10
10,30,108.5,33.9,"ABMA",48.8,5,NA,"flaglets",97,10
10,31,7.9,3.8,"ABCO",6.3,NA,"-0.8",NA,99,10
10,32,16.5,9.3,"ABCO",9,NA,"-0.9",NA,98,10
10,33,12,6.4,"ABCO",16.6,NA,"-1.7",NA,99,10
10,34,37.5,18.7,"ABCO",17.4,NA,"-1.6",NA,98,10
10,35,2.5,2.15,"ABCO",17,NA,"-1.6",NA,99,10
10,36,18.7,7.8,"ABCO",17.8,NA,"-3.4",NA,98,10
10,37,26.2,15.6,"ABCO",18.8,NA,"-4.5",NA,99,10
10,38,11.5,7.4,"ABCO",19.5,NA,"-3",NA,98,10
10,39,35.9,15,"ABCO",20.9,NA,"-2.7",NA,95,10
10,40,93.3,34.5,"ABCO",21.7,NA,"-4","SD, lichen",0,10
10,41,14.6,6.5,"ABCO",22.2,NA,"-2.4","cryptoporus, SD",0,10
10,42,7.5,4.5,"ABCO",22.4,NA,"-3","LEAN, mech bc fallen tree, sparse",95,10
10,43,24,14.3,"ABCO",22.9,NA,"-2.8","flag",97,10
10,44,6.7,3.3,"ABCO",23.1,NA,"-2.6","LEAN",97,10
10,45,0,1.35,"ABCO",22.9,NA,"-3","LEAN(as in horizonal) sparse",98,10
10,46,4.1,3.2,"ABCO",24.8,NA,"-3.6","lean, sparse",97,10
10,47,40.8,23.1,"ABCO",25.1,NA,"-3.6","pitching",97,10
10,48,110.9,27.5,"ABCO",34.6,NA,"-2","SD. broke, wood borer, lichen",0,10
10,49,40.8,18.9,"ABCO",36,NA,"-2.9","flags near bottom",93,10
10,50,4.6,2.4,"ABCO",43,NA,"-1.8","MECH, missing branches",98,10
10,51,1.9,1.7,"ABCO",43.5,NA,"-4.1",NA,97,10
11,1,16,6.9,"ABCO",0.9,1.2,NA,"flaglets",99,11
11,2,10.2,5.1,"ABCO",1,2.1,NA,"flaglets",98,11
11,3,12.9,6.2,"ABCO",1.6,2.25,NA,"flaglets",99,11
11,4,42.6,14.9,"CADE",3.2,NA,"-2",NA,0,11
11,5,19.4,9.1,"CADE",5.3,NA,"-3.9","flaglets, supp by big tree",95,11
11,6,38.1,15.4,"CADE",6.1,NA,"-4.7","healthy",99,11
11,7,45.8,16,"CADE",13.6,2.15,NA,"supp, healthy",99,11
11,8,8.7,4,"CADE",23.6,1.9,NA,"flaglets",97,11
11,9,6.9,3.7,"ABCO",24.4,3.2,NA,"healthy",100,11
11,10,42.7,14.8,"CADE",31.4,0.01,NA,"healthy",98,11
11,11,31.7,15.6,"ABCO",31.6,NA,"-5","supp on one side",97,11
11,12,32.9,12.6,"CADE",32.05,NA,"-0.5","supp one side",96,11
11,13,53.8,26.3,"ABCO",34.4,NA,"-3.5","flags (dead)",0,11
11,14,16.8,7.4,"ABCO",35.4,NA,"-3.6",NA,0,11
11,15,53.9,21,"ABCO",35.6,NA,"-1.9","flaglets",98,11
11,16,81.8,36.4,"PIPO",38.3,NA,"-1.5","healthy",98,11
11,17,13.2,4.4,"CADE",38.7,5,NA,"thin, flags",90,11
11,18,28.2,11.7,"CADE",39,4.9,NA,"healthy, flaglets",99,11
11,19,60.6,26.4,"ABCO",41.4,0.2,NA,"healthy",99,11
11,20,38.8,16.5,"CADE",49.5,0.15,NA,"flaglets",98,11
12,1,7.9,3.7,"CADE",49.9,NA,"-0.8","sparse, blackened",78,12
12,2,27.2,9.4,"CADE",47.6,NA,"-1.2",NA,86,12
12,3,13.8,8.4,"PIPO",47.4,NA,"-0.8","suppressed",95,12
12,4,20,7,"CADE",45.7,NA,"-0.01",NA,92,12
