"seqPlotID","vpdmax","tmean","ppt","PlotID","plotNum"
1,19.6399612426758,13.4005661010742,978.433532714844,1,1
2,17.6293964385986,13.6934900283813,987.503479003906,2,2
3,12.5013332366943,9.43873977661133,1183.73291015625,3,3
4,12.0388832092285,8.37981224060059,1225.90661621094,4,4
5,12.346040725708,8.5957202911377,1333.08251953125,5,5
6,12.6533346176147,7.4604001045227,1238.59936523438,6,6
7,13.4367952346802,9.54805374145508,1218.9462890625,7,7
8,12.4335680007935,7.88711500167847,1206.91662597656,8,8
9,12.513370513916,5.27978372573853,1108.52404785156,9,9
10,12.1346569061279,7.92652273178101,1404.76586914062,10,10
11,12.7534017562866,8.56468296051025,1143.16455078125,11,11
12,13.3212823867798,7.92216968536377,1209.92651367188,12,12
13,13.509840965271,11.44118309021,1120.16809082031,13,13
14,13.3316793441772,9.17092514038086,1250.78491210938,14,14
15,15.373254776001,9.82273006439209,1066.62182617188,15,15
16,14.6148204803467,11.5912208557129,1066.24694824219,16,16
17,13.7876214981079,11.1602973937988,1099.63793945312,17,17
18,13.7876214981079,11.1602973937988,1099.63793945312,18,18
19,13.9878597259521,9.22034454345703,1246.162109375,19,19
20,13.8768949508667,11.6217861175537,1090.84582519531,21,20
21,13.0100860595703,10.1525297164917,1183.37182617188,24,21
22,13.7424869537354,9.53656482696533,1158.830078125,25,22
23,14.9460039138794,10.8808345794678,1128.88659667969,26,23
24,14.5635967254639,9.73934078216553,1309.93957519531,28,24
25,16.1935157775879,11.8013439178467,1029.32983398438,29,25
26,14.2240343093872,11.6928806304932,1097.37097167969,30,26
27,16.7919387817383,11.6165924072266,1131.43725585938,31,27
28,13.3393573760986,9.41659545898438,1194.6064453125,32,28
29,16.1845703125,11.4321784973145,1062.85681152344,34,29
30,16.7919387817383,11.6165924072266,1131.43725585938,35,30
31,17.7927265167236,12.3322153091431,1032.98315429688,36,31
32,16.8927631378174,11.8257436752319,1023.19506835938,37,32
33,16.9208202362061,11.9541397094727,976.83740234375,39,33
34,16.1348514556885,11.6104154586792,1022.06671142578,41,34
35,19.5687999725342,12.680272102356,980.612426757812,43,35
36,16.7470226287842,11.900351524353,1182.50109863281,44,36
37,15.183331489563,12.1622934341431,1075.41955566406,45,37
38,19.1756572723389,13.3190593719482,1037.0283203125,48,38
39,13.3570365905762,8.69790554046631,1113.6416015625,49,39
40,18.4658470153809,12.7605648040771,1052.06066894531,50,40
41,16.834358215332,11.445574760437,1091.06420898438,54,41
42,13.7817363739014,9.99043560028076,1174.69079589844,55,42
43,14.6032152175903,10.1670150756836,1026.99633789062,56,43
44,15.1077365875244,10.4757070541382,1068.23522949219,57,44
45,16.1713275909424,12.7243728637695,1000.50646972656,58,45
46,16.1713275909424,12.7243728637695,1000.50646972656,59,46
47,16.4735698699951,11.075587272644,1079.83227539062,60,47
48,13.8486156463623,10.4011859893799,1201.80895996094,61,48
49,14.0216302871704,9.86151218414307,1249.72827148438,64,49
50,12.4704904556274,8.969162940979,1207.25512695312,65,50
51,13.759162902832,7.72641372680664,1186.15295410156,67,51
52,15.222131729126,10.4112110137939,1030.11206054688,68,52
53,13.3695154190063,8.77691173553467,1193.70007324219,70,53
54,14.8190155029297,11.8000602722168,1082.59899902344,71,54
55,13.2908744812012,10.6266345977783,1132.67834472656,72,55
56,13.3615484237671,10.4438724517822,1187.6904296875,73,56
57,12.6059379577637,9.91228675842285,1098.13415527344,74,57
58,13.9120807647705,6.6057562828064,1115.74206542969,75,58
59,13.8204002380371,10.9531698226929,1168.96801757812,76,59
