"plotID","plot_type","treeNum","DBH_cm","slope","pitchTubes","exitHoles","activeBranchCanker","inactiveBranchCanker","activeBoleCanker","inactiveBoleCanker","notes","plot_elevation_ft","trans_length","width","percentLive","ribes_50m","ribes_100m","ribes_150m","ribes_200m","plotNum"
1,"random",1,66.8,12.7,"N","N",0,0,0,0,"cones, few flaglets",7213,NA,NA,98,"N",NA,NA,NA,1
1,"random",2,129.4,12.7,"N","N",0,0,0,0,"Still has some brown needles, weevils, crypto",7213,NA,NA,0,"N",NA,NA,NA,1
1,"random",3,57.3,12.7,"N","N",0,0,0,0,"cones, few flaglets, sparse canopy, browning needles at top",7213,NA,NA,98,"N",NA,NA,NA,1
1,"random",4,19.2,12.7,"N","N",0,0,0,0,"healthy, some brown needles",7213,NA,NA,99,"N",NA,NA,NA,1
1,"random",5,12.8,12.7,"N","N",0,0,0,0,"healthy, full canopy",7213,NA,NA,100,"N",NA,NA,NA,1
1,"random",6,27.1,12.7,"N","N",0,0,0,0,"baby cones, brown/yellow needles, flaglets",7213,50,NA,96,"N",NA,NA,NA,1
1,"random",7,42.9,12.7,"N","N",0,0,0,0,"baby cones, dead branch mid canopy, yellow needles, crook, growing next to rock, big cone at top",7213,50,NA,98,"N",NA,NA,NA,1
1,"random",8,65.3,12.7,"N","N",0,0,0,0,"baby cones, healthy, 1 pitch tube-prob DEPO?",7213,50,NA,99,"N",NA,NA,NA,1
1,"random",9,51.9,12.7,"N","N",0,0,0,0,"mech with healing, Btop, cones, LICH, yellow needles",7213,50,NA,97,"N",NA,NA,NA,1
1,"random",10,50.3,12.7,"N","N",0,0,0,0,"baby cones, yellow needles, LICH, old mech",7213,50,NA,97,"N",NA,NA,NA,1
1,"random",11,38.3,12.7,"N","N",0,0,0,0,"flaglets, yellow needles, baby cones",7213,50,NA,97,"N",NA,NA,NA,1
1,"random",12,33.5,12.7,"DEPO","DEND",0,0,0,0,"SD, brown needles still attached, WB",7213,50,NA,0,"N",NA,NA,NA,1
1,"random",13,37.7,12.7,"N","N",0,0,0,0,"old Btop, multi leaders, LICH, no cones",7213,50,NA,97,"N",NA,NA,NA,1
1,"random",14,30.5,12.7,"N","N",0,0,0,0,"1 baby cone, yellow needles, crook",7213,50,NA,97,"N",NA,NA,NA,1
1,"random",15,31.8,12.7,"N","N",0,0,0,0,"cones, yellow needles, older leaders, pom-pom needles (JEC pic 11:02am)",7213,50,NA,98,"N",NA,NA,NA,1
1,"random",16,30.5,12.7,"N","N",0,0,0,0,"cones, sparse, 2nd leader far down (dead from supp)",7213,50,NA,97,"N",NA,NA,NA,1
1,"random",17,36.6,12.7,"N","N",0,0,0,0,"old FS pitch, supp",7213,50,NA,98,"N",NA,NA,NA,1
1,"random",18,0,12.7,"N","N",0,0,0,0,"yellow needles, WF, NM",7213,50,NA,96,"N",NA,NA,NA,1
1,"random",19,51.8,12.7,"N","N",0,0,0,0,"cones, crook, yellow needles",7213,50,NA,96,"N",NA,NA,NA,1
1,"random",20,116.3,12.7,"N","N",0,0,0,0,"baby cones, LICH, healthy",7213,50,NA,98,"N",NA,NA,NA,1
1,"random",21,50.3,12.7,"N","N",0,0,0,0,"cones, yellow needles",7213,50,NA,98,"N",NA,NA,NA,1
1,"random",22,103.5,12.7,"N","N",0,0,0,0,"cones, flaglets, dead branch tips (ipps?), FS with pitch",7213,50,NA,97,"N",NA,NA,NA,1
10,"random",1,32.1,22,"N","N",0,0,0,0,"flaglets, dots of pitch on branches, looks singed but no fire scar,  all flags toward bottom, photos(3) @ 1:40PM",7045,200,50,89,"RIRO","RIRO","RIRO",NA,10
10,"random",2,0,22,"N","N",0,0,0,0,"MECH, WF, NM, snow mold",7045,200,50,97,"RIRO","RIRO","RIRO",NA,10
10,"random",3,0,22,"N","N",0,0,0,0,"NM, WF",7045,200,50,97,"RIRO","RIRO","RIRO",NA,10
10,"random",4,70.9,22,"DEPO","DEPO",0,0,0,0,"cryptoporus, wood borer, BROKE, FORK, older leader overgrown",7045,200,50,0,"RIRO","RIRO","RIRO",NA,10
10,"random",5,0,22,"N","N",0,0,0,0,"a little MECH, WF, NM",7045,200,50,98,"RIRO","RIRO","RIRO",NA,10
10,"random",6,0,22,"N","N",0,0,0,0,"NM, WF, yellowing needles, MECH",7045,200,50,95,"RIRO","RIRO","RIRO",NA,10
10,"random",7,29.4,22,"N","N",0,0,0,0,"reason for flags unclear, no cones",7084,200,50,97,"RIRO","RIRO","RIRO",NA,10
10,"random",8,21.5,22,"N","N",0,0,0,0,"flaglets no cones",7085,200,50,97,"RIRO","RIRO","RIRO",NA,10
10,"random",9,118.8,22,"N","N",0,0,0,0,"flaglets, old dead branch, baby cones",7045,200,50,96,"RIRO","RIRO","RIRO",NA,10
10,"random",10,77.3,22,"N","N",0,0,0,0,"flaglets, baby cones",7045,200,50,96,"RIRO","RIRO","RIRO",NA,10
10,"random",11,12.5,22,"N","N",0,0,0,0,NA,7045,200,50,99,"RIRO","RIRO","RIRO",NA,10
10,"random",12,88.9,22,"N","N",0,0,0,0,"MECH, no cones",7045,200,50,98,"RIRO","RIRO","RIRO",NA,10
10,"random",13,73.8,22,"N","N",0,0,0,0,"cones, old dead branch very slightly suspicous, few flaglets",7045,200,50,98,"RIRO","RIRO","RIRO",NA,10
10,"random",14,83.5,22,"N","N",0,0,0,0,"old dtop, baby cones",7045,200,50,94,"RIRO","RIRO","RIRO",NA,10
10,"random",15,120.7,22,"N","N",0,0,0,0,"FORK",7045,200,50,98,"RIRO","RIRO","RIRO",NA,10
10,"random",16,63.4,22,"N","N",0,0,0,0,"height to live crown 27.3, including dead top",7045,200,50,97,"RIRO","RIRO","RIRO",NA,10
10,"random",17,9.4,22,"N","N",0,0,0,0,"LEAN, MECH, CROOK, sparse",7045,200,50,98,"RIRO","RIRO","RIRO",NA,10
10,"random",18,0.1,22,"N","N",0,0,0,0,"lot of yellowing needles, NM",7045,200,50,85,"RIRO","RIRO","RIRO",NA,10
10,"random",19,0,22,"N","N",0,0,0,0,"NM, WF",7045,200,50,98,"RIRO","RIRO","RIRO",NA,10
10,"random",20,0,22,"N","N",0,0,0,0,"NM, WF",7047,200,50,98,"RIRO","RIRO","RIRO",NA,10
10,"random",21,34.8,22,"N","N",2,0,1,0,"major MECH, but also seems to have WPBR photo",7105,200,50,94,"RIRO","RIRO","RIRO",NA,10
10,"random",22,72.2,22,"N","N",0,0,0,0,"on the way up",7152,200,50,98,"RIRO","RIRO","RIRO",NA,10
11,"random",1,65.6,1.6,"N","N",0,0,0,0,"D?,flaglets, flags losing needles, little left supp",6197,100,NA,98,"RIRO","RIRO",NA,NA,11
11,"random",2,63.3,1.6,"N","Y",0,0,0,0,"D?, trees 2-4 are connected at base. cones.",6197,100,NA,98,"RIRO","RIRO",NA,NA,11
11,"random",3,63.4,1.6,"N","Y",1,0,0,2,"SUS. 1 possible active branch canker. 2 possible inactive bole cankers. 2 dark branches near pitch. Cones. Dead branch peeling bark. Steaming pitch one area (yellow).",6197,100,NA,98,"RIRO","RIRO",NA,NA,11
11,"random",4,42.2,1.6,"N","Y",0,0,0,0,"D? trees 2-4 are connected at base. cones, flaglets.",6197,100,NA,97,"RIRO","RIRO",NA,NA,11
11,"random",5,101.5,1.6,"N","N",0,0,0,0,"D? cones, dying branch towards top of canopy, dark at tip, rodent chews?",6197,100,NA,98,"RIRO","RIRO",NA,NA,11
